コード,銘柄名,02/04,02/03,01/31,01/30,01/29
1301,極洋,0.00,0.00,0.00,0.00,0.00
1379,ホクト,0.05,0.05,0.05,0.05,0.15
1420,サンヨーホームズ,0.05,0.05,0.05,0.05,0.15
1430,ファーストコーポレーション,0.00,0.00,0.00,0.05,0.00
1433,ベステラ,0.05,0.05,0.05,0.05,31.20
1662,石油資源開発,0.00,-,-,0.00,0.00
1719,安藤・間,0.00,0.00,0.00,0.00,0.00
1766,東建コーポレーション,0.15,0.15,0.15,0.15,0.45
1768,ソネック,0.00,0.00,0.00,0.00,0.00
1780,ヤマウラ,0.05,0.05,0.05,0.05,0.15
1803,清水建設,0.00,0.00,0.00,0.00,0.00
1808,長谷工コーポレーション,0.05,0.05,0.05,0.05,0.15
1810,松井建設,0.00,0.00,0.00,0.00,0.00
1812,鹿島建設,0.00,0.00,0.00,0.00,0.00
1814,大末建設,0.00,0.00,0.00,-,-
1820,西松建設,0.00,0.00,0.00,0.00,0.00
1826,佐田建設,0.00,-,0.00,0.00,0.00
1835,東鉄工業,0.10,0.10,0.10,0.10,0.15
1848,富士ピー・エス,0.00,0.00,0.00,0.00,0.00
1860,戸田建設,0.00,0.00,0.00,0.00,0.00
1867,植木組,0.00,0.00,0.00,0.00,0.00
1870,矢作建設工業,0.00,0.05,0.00,0.00,0.00
1878,大東建託,0.00,0.05,0.25,-,0.75
1881,ＮＩＰＰＯ,0.05,0.05,0.05,0.05,0.15
1884,日本道路,0.15,0.15,0.15,0.20,0.60
1885,東亜建設工業,0.00,0.00,0.00,0.00,0.00
1914,日本基礎技術,0.00,0.00,0.00,0.00,0.00
1928,積水ハウス,0.05,0.05,0.05,0.05,7.50
1929,日特建設,0.00,0.00,0.00,0.00,0.00
1934,ユアテック,0.00,-,-,-,-
1944,きんでん,0.00,0.00,0.05,-,0.00
1949,住友電設,0.00,0.00,0.00,0.00,0.00
1950,日本電設工業,0.00,0.05,0.05,0.00,-
1952,新日本空調,0.05,0.05,0.05,0.00,0.15
1954,日本工営,0.10,0.10,0.10,0.10,0.30
1961,三機工業,0.05,0.05,0.05,0.05,0.00
1963,日揮ホールディングス,0.00,0.00,0.00,-,-
1964,中外炉工業,0.00,0.00,0.00,0.00,0.00
1969,高砂熱学工業,0.00,-,-,-,-
1975,朝日工業社,0.00,0.00,0.00,0.00,0.00
1976,明星工業,0.05,0.05,0.05,0.05,0.15
1979,大氣社,0.10,0.10,0.10,0.10,0.15
2004,昭和産業,0.00,0.00,0.00,0.00,0.00
